username,date,hms,post_num,num_likes
karting,"Jan 28, 2019",11:21 AM,9630696,
Baron,"Jan 28, 2019",12:59 PM,9630846,
RegisDB9,"Jan 28, 2019",1:03 PM,9630854,
troika,"Jan 28, 2019",1:51 PM,9630926,55.0
Darkside,"Jan 28, 2019",2:16 PM,9630964,
gong,"Jan 28, 2019",5:08 PM,9631234,
troika,"Jan 28, 2019",5:16 PM,9631255,
KamoteJoe,"Jan 28, 2019",8:52 PM,9631531,9.0
HommeBoy007,"Jan 28, 2019",8:59 PM,9631540,
once a day,"Jan 29, 2019",7:33 AM,9631958,6.0
RegisDB9,"Jan 29, 2019",12:53 PM,9632546,21.0
#dadcore,"Jan 29, 2019",1:37 PM,9632635,55.0
Cotton Dockers,"Jan 29, 2019",3:22 PM,9632773,
Parker,"Jan 29, 2019",8:55 PM,9633190,
jet,"Jan 29, 2019",9:15 PM,9633198,8.0
Jobst,"Jan 30, 2019",6:47 AM,9633499,16.0
Slin,"Jan 30, 2019",7:10 AM,9633537,
Purplelabel,"Jan 30, 2019",8:02 AM,9633601,
HommeBoy007,"Jan 30, 2019",8:08 AM,9633615,
Benesyed,"Jan 30, 2019",8:38 AM,9633673,
nahneun,"Jan 30, 2019",8:58 AM,9633731,7.0
Benesyed,"Jan 30, 2019",9:37 AM,9633813,
shopcanoeclub,"Jan 30, 2019",10:17 AM,9633882,15.0
RegisDB9,"Jan 30, 2019",10:37 AM,9633918,5.0
falgfalg,"Jan 30, 2019",10:46 AM,9633935,11.0
FrankCowperwood,"Jan 30, 2019",10:53 AM,9633949,
falgfalg,"Jan 30, 2019",10:56 AM,9633959,
beepbop,"Jan 30, 2019",11:05 AM,9633986,20.0
shopcanoeclub,"Jan 30, 2019",11:11 AM,9633995,
baltimoron,"Jan 30, 2019",11:14 AM,9634001,
MarkWinter,"Jan 30, 2019",11:15 AM,9634003,
FrankCowperwood,"Jan 30, 2019",11:26 AM,9634023,
endorphinz,"Jan 30, 2019",11:36 AM,9634039,27.0
FlyingMonkey,"Jan 30, 2019",1:37 PM,9634235,26.0
steveoffice,"Jan 30, 2019",1:44 PM,9634249,
MGoCrimson,"Jan 30, 2019",2:08 PM,9634276,44.0
conceptual 4est,"Jan 30, 2019",2:16 PM,9634291,10.0
FrankCowperwood,"Jan 30, 2019",3:06 PM,9634348,
berlin report,"Jan 30, 2019",4:03 PM,9634440,61.0
gettoasty,"Jan 30, 2019",5:05 PM,9634501,
MGoCrimson,"Jan 30, 2019",5:36 PM,9634544,
